,content,query,tweetDate,twitterProfile
3857,🔥 Sen nasıl bir kralsın? #Lukaku https://t.co/OQv6ZeDo9E,#lukaku,2020-02-09 21:47:03+00:00,https://twitter.com/mislicom
3758,"¡Final! #InterDeMilan (51' #Brozovic, 52' #Vecino, 70' #DeVrij, 90' +3 #Lukaku) 4-2 #acmilan (40' #rebic, 45' +1 #Ibrahimovic).

#DerbyDellaMadoninna #SerieA #FCIM #ForzaInter",#lukaku,2020-02-09 21:47:08+00:00,https://twitter.com/interdemilanca
3696,"#Lukaku
Not the top scorer at the moment.
But what a crucial goal.
Not just a derby win.
Turning point of the season.
#InterMilan #DerbyDellaMadonnina",#lukaku,2020-02-09 21:47:20+00:00,https://twitter.com/Dhawuodbay
4022,"Allora Romelu, come è andato il derby? #Lukaku #InterMilan #amala https://t.co/VcwjNemCM0",#lukaku,2020-02-09 21:47:20+00:00,https://twitter.com/Ros__ha
3640,"WHAT A GAME!!!!!! 
2 down at h/t 4-2 f/t #Inter 
#MilanDerby 7 in 7 #lukaku https://t.co/Zd8vylusVk",#lukaku,2020-02-09 21:47:31+00:00,https://twitter.com/AllisonJaneSmi2
4940,"Derby incredibile. 50 minuti rossoneri scintillanti sulle spalle di un #Ibra magico. Lo svedese esaurisce la benzina e l'Inter l'ha tramortita con la forza di giocatori più esperti, carismatici e di personalità. Su tutti #Brozovic e #Devrij. In chiave scudetto pesantissima",#brozovic,2020-02-09 21:47:33+00:00,https://twitter.com/PinoVaccaro77
3775,Sotto meritatamente di 2 gol alla fine del 1mo tempo @Inter fa l'impresona e ribalta @acmilan con 3 reti in 19 minuti. Il sigillo finale lo mette #Lukaku. Vittoria dal valore immenso che vale l'aggancio in vetta a @juventusfc con @OfficialSSLazio a 1 punto. Scudetto incertissimo.,#lukaku,2020-02-09 21:47:40+00:00,https://twitter.com/realvarriale
3707,"HT: Inter 0-2 Milan
FT: Inter 4-2 Milan

The Derby della Madonnina didn't disappoint #InterMilan #Lukaku #Conte",#lukaku,2020-02-09 21:48:15+00:00,https://twitter.com/McRevOreva
3767,"@Inter is a beast team. Conte has created a real team. He took all leftovers and made it better than the fresh food. Amazing hardworking team. 
Amazing game.

#InterMilan #Zlatan #Lukaku #SerieA",#lukaku,2020-02-09 21:48:28+00:00,https://twitter.com/Ftp1777
4949,"Il #Milan è durato solo un tempo e si è sciolto sul gol di #Brozovic che ha riaperto la partita. #Ibrahimovic immenso fino a quando ha avuto palloni. Male la fase difensiva in una ripresa subita. #Pioli non ha trovato nulla in panchina per ridare compattezza

#InterMilan",#brozovic,2020-02-09 21:48:36+00:00,https://twitter.com/capuanogio
3866,"Istanbul instanbuuuullll
Canta: #PieroPelù 
#sanremo o #SerieA?!

#Intermilan #inter #Lukaku",#lukaku,2020-02-09 21:49:02+00:00,https://twitter.com/jacopo_aj91
3876,"L’Inter vince il derby sconfiggendo il Milan per 4-2. Sigillo finale di Lukaku, partita sontuosa di Vecino. Non basta Ibrahimovic per i rossoneri. 

@SerieA #MilanInter #DerbyDellaMadoninna #Lukaku #Vecino #Ibrahimovic #SerieA #calcio https://t.co/hEe2LX2Zh3",#lukaku,2020-02-09 21:49:24+00:00,https://twitter.com/IlTempoLibero1
3739,21 goals in 30 games this season #Lukaku,#lukaku,2020-02-09 21:49:39+00:00,https://twitter.com/hjama5
3879,"Poi ve lo spiego 🖤💙
#InterMilan #Lukaku https://t.co/WzJvZ7X4Vv",#lukaku,2020-02-09 21:50:00+00:00,https://twitter.com/iamcristinaf
3652,Top players always make a difference on the pitch. What a great #DerbyDellaMadonnina today. #Lukaku was unstoppable. #Ibrahimovic led the operations in the first half. Italian football is top level ⚽️👍🏻 #InterMilan,#lukaku,2020-02-09 21:50:03+00:00,https://twitter.com/stefa1104
3845,Grandissima #Inter! #Lukaku chiude un #derby storico! https://t.co/XXH99S3QvD,#lukaku,2020-02-09 21:50:06+00:00,https://twitter.com/Decollanz
4841,"La psicologia nel calcio vale più di ogni cosa. Partita svoltata dal gol di #Brozovic. Voglia di vincere, di ribaltarla, dopo un primo tempo penoso. Grande vittoria.
#InterMilan",#brozovic,2020-02-09 21:50:13+00:00,https://twitter.com/thekingsalo
3904,"Senden iyi forvet yok bu böyle biline.
#Lukaku 
#FORZAINTER https://t.co/jt4dCKWfgw",#lukaku,2020-02-09 21:50:17+00:00,https://twitter.com/Recepugarr
3643,"#InterMilan 4 - 2 #ACMilan 

What a comeback inspired by Antonio Conte after his charge were two goal behind in the first half. #Lukaku #SerieA
More info: https://t.co/3HqWqaRH1F https://t.co/686E9sxL8f",#lukaku,2020-02-09 21:50:22+00:00,https://twitter.com/FlashScoreNG
3836,"for #mufc fans #Lukaku is a bad CF and #martial(who can't win a shit in the air) is the best CF
GOD BLESS #MUFC fans,you deserved to be relegated in the #EPL
#DerbyMilano #InterMilan #MilanDerby @ManUtd",#lukaku,2020-02-09 21:50:30+00:00,https://twitter.com/ms_behera
4934,Rimango dell'idea che quando sale in cattedra #Brozovic la squadra cambia totalmente e il gol dell'1-2 è la dimostrazione da li è cambiato tutto...#InterMilan #ForzaInter,#brozovic,2020-02-09 21:50:47+00:00,https://twitter.com/angelo25_04
3749,Now that is a comeback!! #INTER 🖤💙🖤💙💚💙💙🖤💙🖤 #amala #fcinter #lukaku #brozo #devrij #vecino 💔ZLATAN un Dio https://t.co/BHV2HRE5PB,#lukaku,2020-02-09 21:51:15+00:00,https://twitter.com/FREELABESTIA
4830,"#InterMilan 4️⃣➖2️⃣

Partita straordinaria. Un grande #Milan domani il primo tempo. #Brozovic sblocca l' #Inter che da lì sfoggia un carattere, una cattiveria da vera squadra. Onore a #Conte. Un #DerbyDellaMadonnina che dà una carica enorme ad un Inter nuovamente capolista.
Bravi!",#brozovic,2020-02-09 21:51:23+00:00,https://twitter.com/MaestroJuventus
3641,"The Cook................. The Food....

Have yourself a Bf that can cook this Val.... There is nothing that beats your man cooking for you....

#ultimatelove #SeductiveSunday #valentineiscoming #Lukaku https://t.co/Q0HDCZjAr5",#lukaku,2020-02-09 21:51:53+00:00,https://twitter.com/dabowilliams
3642,Dateci la gif di #Lukaku con la maglia sulla bandierina come La Libertá che guida il popolo e non dormiamo per tre giorni #InterMilan,#lukaku,2020-02-09 21:51:56+00:00,https://twitter.com/TheOrologio
3650,"#Knockout #Lukaku #InterMilan 
Its lukaku’s city now 💙🖤 https://t.co/VTQWjXAqmY",#lukaku,2020-02-09 21:52:08+00:00,https://twitter.com/Abdullah_S_Z_87
3658,"This guy is a monster..
Help retweet my artwork🙏🏽🙏🏽🙏🏽 @RomeluLukaku9 
#lukaku #MilanInter #DerbyMilano #InterMilan #FORZAINTER https://t.co/rFlW7Mt9Tr",#lukaku,2020-02-09 21:52:10+00:00,https://twitter.com/Liuking_draws
4851,#lukaku #devrij #vecino #brozovic https://t.co/T2ayhALUvF,#brozovic,2020-02-09 21:52:26+00:00,https://twitter.com/EngGliantonelli
4950,"Una vittoria che non parla di scudetto, ma di certo dà certezze a una squadra che NON ha mai mollato: #Lukaku Signore in campo, #Brozovic insostituibile ed #Eriksen che scalda il piedino. Il #DerbyDellaMadonnina è sempre un’altra partita. #InterMilan",#brozovic,2020-02-09 21:53:10+00:00,https://twitter.com/OnorioFerraro
0,"RT @IStalinisti: Certo che centrodestra così debole come quello #Vecino-#Candreva non lo ha neppure Italia Viva.

[ComIntern per #Intermila…","['Vecino', 'Candreva']",2020-02-09 19:30:11+00:00,1289664930
1,"RT @marifcinter: #InterMilan, il capitano sarà Marcelo #Brozovic. #Skriniar vice⚫️🔵 https://t.co/A7yGF92Uoh","['InterMilan', 'Brozovic', 'Skriniar']",2020-02-09 19:34:51+00:00,416729085
